Empresa/Anio;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Codelco-Chile Total(1);1500.163;1615.349;1612.328;1698.924;1630.048;1673.534;1840.02;1831.194;1783.014;1664.64;1547.642;1782.409;1760.248;1796.12317;1757.56139;1791.55539;1840.72962;1891.38774;1827.29248;1842.06416;1806,677;1706,171
Division Chuquicamata (2);650.2;630.1;630.1;641.9;596.8;601.1;691.8;676.1;634;615;469.9;574;528.4;443.4;355.9;339;340.4;308.6;302;330.9;320,7;385,3
Division Radomiro Tomic (3);161.9;190.1;191.4;260.3;297.1;306.1;291;288.8;306.6;281.3;285.4;300.7;375.3;470.1;427.8;379.6;327.3;315.7;318.3;318.9;332,7;266,4
Division Ministro Hales;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33.5;141.2;238.3;237;215.1;195,5;151,8
Division Salvador;88.1;91.7;80.5;81.2;72.8;80.1;74.9;77.5;80.6;63.9;42.7;65.5;76.2;69;62.7;54.3;54;48.6;59.8;62;60,8;50,6
Division Andina;164;249.3;258;253.3;218.7;235.8;239.9;248.2;236.4;218.4;219.5;209.7;188.5;234.4;249.9;236.7;232.4;224.3;193.4;220;195,5;170,3
Division El Teniente;338.6;346.3;355.7;355.6;334.3;339.4;435.6;437.4;418.3;404.7;381.2;404.1;403.6;400.3;417.2;450.4;455.5;471.2;475.3;464.3;465;459,7
Gaby;-;-;-;-;-;-;-;-;-;-;67.7;148;117.1;118;133;128.2;121;125;121.7;122.7;107,3;104,1
OTROS PRODUCTORES / Other Producers;2284.1;2883.7;3086.3;3146.7;3060.9;3341.7;3679.3;3592.5;3684.9;3973.73;3861.2;3692.4;3729.8;3527.6;3787.4;4154.3;4089.3;4040.4;3845.1;3769.6;4153,839;4199,304902
Mantos Copper (Ex Anglo American Norte);138.1;151.6;155.3;156.9;153.4;147.1;155;149.7;152.1;151.6;148.9;151.6;139.6;130.9;115;111.3;104.2;106.3;99.1;87.8;83,5;86,3
